Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
LAFAYETTE COLLEGE,"730 High St, Easton, PA 18042, USA",40.6986202,-75.2087298,"730 High St, Easton, PA 18042, USA",Match,Google
LASALLE UNIVERSITY,"1900 W Olney Ave, Philadelphia, PA 19141, USA",40.0387561,-75.1566322,"1900 W Olney Ave, Philadelphia, PA 19141, USA",Match,Google
LOUISIANA STATE UNIV AT ALEXANDRIA,"8100 US-71, Alexandria, LA 71302, USA",31.178112,-92.4143367,"8100 US-71, Alexandria, LA 71302, USA",Match,Google
UNIVERSITY OF NEBRASKA AT LINCOLN,"1400 R St, Lincoln, NE 68588, USA",40.8201966,-96.7004763,"1400 R St, Lincoln, NE 68588, USA",Match,Google
AMERICAN UNIVERSITY OF BEIRUT,"305 E 47th St, New York, NY 10017, USA",40.7528385,-73.9689989,"305 E 47th St, New York, NY 10017, USA",Match,Google
LESLEY COLLEGE,"29 Everett St, Cambridge, MA 02138, USA",42.3810755,-71.1174864,"29 Everett St, Cambridge, MA 02138, USA",Match,Google
MCNEESE STATE UNIVERSITY,"4205 Ryan St, Lake Charles, LA 70605, USA",30.1783657,-93.215629,"4205 Ryan St, Lake Charles, LA 70605, USA",Match,Google
LOYOLA UNIV LIBRARY (NEW ORLEANS),"6363 St Charles Ave # 198, New Orleans, LA 70118, USA",29.9355109,-90.1202423,"6363 St Charles Ave # 198, New Orleans, LA 70118, USA",Match,Google
LANDMARK COLLEGE,"19 River Rd S, Putney, VT 05346, USA",42.9767642,-72.5118469,"19 River Rd S, Putney, VT 05346, USA",Match,Google
UNIVERSITY OF NEW ORLEANS,"2000 Lakeshore Dr, New Orleans, LA 70148, USA",30.0285959,-90.0660365,"2000 Lakeshore Dr, New Orleans, LA 70148, USA",Match,Google
LOYOLA UNIV MARYLAND & NOTRE DAME OF MARYLAND UNIV,"200 Winston Ave, Baltimore, MD 21212, USA",39.3498203,-76.6169704,"200 Winston Ave, Baltimore, MD 21212, USA",Match,Google
LOCK HAVEN UNIVERSITY OF PENNSYLVANIA,"401 N Fairview St, Lock Haven, PA 17745, USA",41.1423205,-77.4621475,"401 N Fairview St, Lock Haven, PA 17745, USA",Match,Google
SOUTHEASTERN LOUISIANA UNIVERSITY,"500 W University Ave, Hammond, LA 70402, USA",30.5173159,-90.4688572,"500 W University Ave, Hammond, LA 70402, USA",Match,Google
SAINT TAMMANY PARISH LIBRARY,"310 W 21st Ave, Covington, LA 70433, USA",30.476904,-90.102905,"310 W 21st Ave, Covington, LA 70433, USA",Match,Google
LEBANON VALLEY COLLEGE,"101 College Ave, Annville, PA 17003, USA",40.3337415,-76.5150796,"101 College Ave, Annville, PA 17003, USA",Match,Google
CORALVILLE PUBLIC LIBRARY,"1401 5th St, Coralville, IA 52241, USA",41.677298,-91.582062,"1401 5th St, Coralville, IA 52241, USA",Match,Google
CHELSEA DISTRICT LIBRARY,"221 S Main St, Chelsea, MI 48118, USA",42.3165412,-84.0198648,"221 S Main St, Chelsea, MI 48118, USA",Match,Google
SAINT JOSEPHS COLLEGE,"71 Clement Rd, Rutland, VT 05701, USA",43.6002805,-73.0017438,"71 Clement Rd, Rutland, VT 05701, USA",Partial Match,Google
MASSACHUSETTS SCH OF PROFESSIONAL PSYCHOLOGY,"1 Wells Ave, Newton, MA 02459, USA",42.2949927,-71.2032348,"1 Wells Ave, Newton, MA 02459, USA",Partial Match,Google
MANSFIELD UNIVERSITY LIBRARY,"5 Swan St, Mansfield, PA 16933, USA",41.8074846,-77.0737268,"5 Swan St, Mansfield, PA 16933, USA",Match,Google
BRANDEIS UNIVERSITY,"415 South St, Waltham, MA 02453, USA",42.3654796,-71.2587009,"415 South St, Waltham, MA 02453, USA",Match,Google
CENTRAL MISSOURI STATE UNIVERSITY,"108 W South St, Warrensburg, MO 64093, USA",38.7580823,-93.7383724,"108 W South St, Warrensburg, MO 64093, USA",Match,Google
ENOCH PRATT FREE LIBRARY,"400 Cathedral St, Baltimore, MD 21201, USA",39.294555,-76.617217,"400 Cathedral St, Baltimore, MD 21201, USA",Match,Google
UNIVERSITY OF BALTIMORE LAW LIBRARY,"1420 N Charles St, Baltimore, MD 21201, USA",39.3061598,-76.6162325,"1420 N Charles St, Baltimore, MD 21201, USA",Match,Google
MIDDLEBURY COLLEGE,"14 Old Chapel Rd, Middlebury, VT 05753, USA",44.0082595,-73.1773152,"14 Old Chapel Rd, Middlebury, VT 05753, USA",Match,Google
MAINE STATE LIBRARY,"230 State St, Augusta, ME 04333, USA",44.306073,-69.7827403,"230 State St, Augusta, ME 04333, USA",Match,Google
MISSISSIPPI STATE UNIVERSITY,"B. S. Hood Rd, Starkville, MS 39759, USA",33.4551742,-88.7943766,"B. S. Hood Rd, Starkville, MS 39759, USA",Match,Google
MINNESOTA SCHOOL OF PROFESSIONAL PSYCHOLOGY,"1515 Central Pkwy, Eagan, MN 55121, USA",44.837312,-93.173898,"1515 Central Pkwy, Eagan, MN 55121, USA",Match,Google
MONTGOMERY COUNTY COMMUNITY COLLEGE,"340 Dekalb Pike, Blue Bell, PA 19422, USA",40.1763373,-75.2755938,"340 Dekalb Pike, Blue Bell, PA 19422, USA",Match,Google
MT. HOOD COMMUNITY COLLEGE,"26000 SE Stark St, Gresham, OR 97030, USA",45.5146461,-122.3966333,"26000 SE Stark St, Gresham, OR 97030, USA",Match,Google
MANCHESTER COMMUNITY COLLEGE,"60 Bidwell St, Manchester, CT 06040, USA",41.7606485,-72.5619284,"60 Bidwell St, Manchester, CT 06040, USA",Match,Google
PENN STATE HERSHEY - H127,"500 University Dr, Hershey, PA 17033, USA",40.2643702,-76.6747274,"500 University Dr, Hershey, PA 17033, USA",Match,Google
MINUTEMAN LIBRARY NETWORK,"10 Strathmore Rd, Natick, MA 01760, USA",42.295995,-71.386693,"10 Strathmore Rd, Natick, MA 01760, USA",Match,Google
MIDDLESEX COMMUNITY COLLEGE LIBRARY,"50 Kearney Square, Lowell, MA 01852, USA",42.6452129,-71.3061428,"50 Kearney Square, Lowell, MA 01852, USA",Match,Google
MERCER COUNTY LIBRARY,"2751 Brunswick Pike, Lawrence Township, NJ 08648, USA",40.2662976,-74.718801,"2751 Brunswick Pike, Lawrence Township, NJ 08648, USA",Match,Google
MONMOUTH UNIVERSITY,"400 Cedar Ave, West Long Branch, NJ 07764, USA",40.2804557,-74.0058114,"400 Cedar Ave, West Long Branch, NJ 07764, USA",Match,Google
UNIVERSITY OF MISSOURI COLUMBIA HEALTH SCIENCE,"1 Hospital Dr, Columbia, MO 65201, USA",38.9398848,-92.3286771,"1 Hospital Dr, Columbia, MO 65201, USA",Match,Google
AUGSBURG COLLEGE,"2211 Riverside Ave, Minneapolis, MN 55454, USA",44.9663002,-93.2401366,"2211 Riverside Ave, Minneapolis, MN 55454, USA",Match,Google
CONCORDIA UNIVERSITY/ST. PAUL,"1282 Concordia Ave, St Paul, MN 55104, USA",44.9490553,-93.1565816,"1282 Concordia Ave, St Paul, MN 55104, USA",Match,Google
ST CATHERINE UNIVERSITY LIBRARY,"St Paul, MN 55105, USA",44.9248512,-93.1836173,"St Paul, MN 55105, USA",Match,Google
WINONA STATE UNIVERSITY,"175 W Mark St, Winona, MN 55987, USA",44.0473997,-91.6432837,"175 W Mark St, Winona, MN 55987, USA",Match,Google
BETHEL UNIVERSITY,"3901-3965 Snelling Ave N, Arden Hills, MN 55112, USA",45.0554785,-93.1659821,"3901-3965 Snelling Ave N, Arden Hills, MN 55112, USA",Match,Google
MONTGOMERY COUNTY NORRISTOWN PUBLIC LIBRARY,"1001 Powell St, Norristown, PA 19401, USA",40.1218759,-75.3403799,"1001 Powell St, Norristown, PA 19401, USA",Match,Google
MANKATO STATE UNIVERSITY,"Minnesota State University, Mankato, 730 Maywood Ave, Mankato, MN 56001, United States",44.1458114,-93.9994861,"Minnesota State University, Mankato, 730 Maywood Ave, Mankato, MN 56001, United States",Match,Google
UNIVERSITY OF ST. THOMAS,"2115 Summit Ave, St Paul, MN 55105, USA",44.941751,-93.1914909,"2115 Summit Ave, St Paul, MN 55105, USA",Match,Google
SOUTHWEST STATE UNIVERSITY,"1501 State St, Marshall, MN 56258, USA",44.4560884,-95.759773,"1501 State St, Marshall, MN 56258, USA",Match,Google
MORAVIAN COLLEGE,"1200 Main St, Bethlehem, PA 18018, USA",40.6308814,-75.3812135,"1200 Main St, Bethlehem, PA 18018, USA",Match,Google
STEPHENS COLLEGE,"1200 E Broadway, Columbia, MO 65215, USA",38.9515728,-92.3214357,"1200 E Broadway, Columbia, MO 65215, USA",Match,Google
MASSACHUSETTS COLLEGE OF PHARMACY,"179 Longwood Ave, Boston, MA 02115, USA",42.3367994,-71.101197,"179 Longwood Ave, Boston, MA 02115, USA",Match,Google
NORTHWEST AREA HEALTH EDUCATION CENTER LIBRARY AT BOONE,"336 Deerfield Rd, Boone, NC 28607, USA",36.198777,-81.652227,"336 Deerfield Rd, Boone, NC 28607, USA",Match,Google
MARIETTA COLLEGE,"215 5th St, Marietta, OH 45750, USA",39.4166565,-81.4499351,"215 5th St, Marietta, OH 45750, USA",Match,Google
MARYLHURST UNIVERSITY,"17600 Pacific Hwy, Marylhurst, OR 97036, USA",45.3985866,-122.6472524,"17600 Pacific Hwy, Marylhurst, OR 97036, USA",Match,Google
MESA PUBLIC LIBRARY,"64 E 1st St, Mesa, AZ 85201, USA",33.4182341,-111.8295668,"64 E 1st St, Mesa, AZ 85201, USA",Match,Google
MASSASOIT COMMUNITY COLLEGE,"1 Massasoit Blvd, Brockton, MA 02302, USA",42.0756099,-70.9902714,"1 Massasoit Blvd, Brockton, MA 02302, USA",Match,Google
